Product,Current Price,Originl Price,Discount,Customer Ratings,Reviewed By
Bracket LED/LCD Plasma Wall Bracket,KSh 999,"KSh 1,998",50%,5 out of 5,1
Generic 14''- 42'' TV Flat Panel Wall Bracket Holder Black,KSh 260,KSh 520,50%,4.2 out of 5,1201
"Home Design ROTATING 14""-55"" TILT MOVING WALL MOUNT BRACKET","KSh 1,200","KSh 2,500",52%,3.7 out of 5,7
"Generic TV Wall Bracket / MOUNT 14"" - 42"" TV - Black",KSh 299,KSh 598,50%,4.3 out of 5,100
"Generic TV Wall Mount Wall Bracket Suitable For 14""-42""",KSh 313,KSh 500,37%,4.5 out of 5,28
Skilltech 17 To 43 Tilt Wall Mount Bracket + Free Cable Ties,KSh 715,"KSh 1,430",50%,4.3 out of 5,59
"Generic 14' - 55"" Full Motion Swivel Wall Mount TV Bracket","KSh 1,089","KSh 2,000",46%,3.9 out of 5,149
"Home Design 14"" - 42"" Full Motion Moving Swivel Wall Mount TV Bracket","KSh 1,255","KSh 2,000",37%,4.5 out of 5,46
"Skilltech Wall Mount 17"" To 43"" Tilting Wall Mount Bracket.",KSh 899,"KSh 1,000",10%,4.3 out of 5,17
"Generic 26""-63"" Fixed TV Wall Mount Bracket",KSh 650,"KSh 1,000",35%,4.5 out of 5,2
Leader TV Bracket For 26 - 55 TV + 4 Extension.,KSh 999,"KSh 1,015",2%,4.4 out of 5,72
"Generic Aerial +14""-42 Wall Bracket Free Extension","KSh 1,178","KSh 2,300",49%,4.6 out of 5,13
"Generic Strong Steel TV Wall Mount Bracket For 14""-42""",KSh 559,NA,NA,4.2 out of 5,6
"Home Design Rotating 14"" - 55"" Full Motion Swivel Wall Mount TV Bracket","KSh 1,190","KSh 2,000",41%,4.2 out of 5,60
"Fashion Ulanzi Adjustable Smartphone Clip Holder Clamp Bracket Aluminum Alloy with Cold Shoe Mount 1/4"" Screw Hole for iPhone 7 7 Plus 6 6s 6 Plus",KSh 769,"KSh 1,099",Shipped from abroad,3.5 out of 5,2
