0,1,2
743,16,35.4
1606,24,48.7
11,1,11.0
28,2,14.0
1207,24,44.7
80,4,13.3
261,8,26.1
2114,32,57.1
157,4,22.4
1399,56,14.7
42,3,21.0
112,10,11.2
875,24,29.2
22,2,22.0
56,5,11.2
142,8,15.8
28,2,14.0
682,32,17.5
5,4,1.3
134,8,14.9
6,1,2.0
13,2,6.5
485,16,48.5
784,17,35.6
105,8,13.1
18,6,1.5
149,8,16.6
131,12,9.4
408,8,45.3
395,19,15.8
72,1,5.1
92,8,7.1
43,4,10.8
355,13,17.8
170,5,28.3
41,0,0.0
1088,24,35.1
1024,19,35.3
141,8,15.7
283,8,31.4
104,10,11.6
206,10,14.7
29,2,9.7
16,3,5.3
1295,22,46.3
286,8,26.0
53,7,6.6
9,1,9.0
40,9,13.3
60,6,6.7
559,13,50.8
24,5,6.0
86,5,0.0
168,11,14.0
33,8,5.5
39,4,5.6
149,6,49.7
157,8,19.6
50,3,10.0
1787,32,59.6
41,3,10.3
6,5,3.0
295,9,26.8
108,10,12.0
261,12,15.4
178,7,25.4
40,9,2.7
836,16,31.0
177,8,17.7
36,2,18.0
388,8,64.7
321,11,26.8
139,9,19.9
4,1,0.8
76,6,12.7
89,7,12.7
63,5,10.5
135,7,22.5
23,7,11.5
26,2,8.7
291,20,10.4
84,6,12.0
191,8,17.4
160,9,17.8
37,4,6.2
5,2,5.0
187,11,17.0
210,8,13.1
31,4,7.8
161,11,20.1
7,2,3.5
50,5,10.0
142,5,28.4
336,16,22.4
17,1,8.5
550,18,22.9
338,8,33.8
325,11,27.1
80,4,13.3
15,2,3.8
208,10,20.8
15,4,3.0
414,19,37.6
14,5,3.5
9,7,9.0
12,2,6.0
256,4,42.7
1814,29,50.4
13,3,6.5
83,9,4.4
146,10,7.7
809,12,62.2
36,5,6.0
314,7,26.2
713,36,11.3
95,8,31.7
15,4,3.8
10,2,5.0
56,4,18.7
51,5,10.2
146,8,11.2
24,2,12.0
470,23,31.3
24,2,12.0
8,0,4.0
96,10,19.2
1701,31,48.6
179,7,25.6
117,4,39.0
753,7,39.6
204,7,20.4
511,24,26.9
641,16,42.7
306,10,25.5
159,8,13.3
101,6,14.4
74,8,7.4
369,8,52.7
98,8,10.9
1002,27,33.4
59,4,11.8
510,14,31.9
101,12,10.1
135,8,16.9
472,13,52.4
43,8,8.6
11,0,11.0
50,7,16.7
352,26,35.2
15,2,0.7
128,8,10.7
181,9,16.5
30,3,0.0
160,9,8.0
227,10,20.6
182,8,18.2
53,4,13.3
384,20,19.2
119,8,9.9
62,5,8.9
625,34,17.4
322,9,23.0
281,20,9.7
216,8,12.0
32,3,0.0
37,6,9.3
196,14,13.1
14,5,4.7
11,2,5.5
531,21,17.7
221,8,24.6
1633,30,38.0
435,16,18.9
586,23,0.0
630,15,42.0
1073,27,37.0
137,11,12.5
247,10,17.6
64,5,21.3
805,17,36.6
617,12,28.0
258,3,19.8
44,10,4.9
20,1,20.0
60,6,10.0
345,12,19.2
378,23,18.9
375,8,37.5
266,8,33.3
39,5,7.8
1262,24,42.1
462,14,27.2
15,4,5.0
197,8,21.9
23,6,3.8
240,20,15.0
135,7,27.0
6,1,6.0
47,7,7.8
125,5,15.6
89,10,9.9
536,20,23.3
38,8,4.8
78,6,13.0
11,1,5.5
377,8,31.4
199,10,18.1
1344,24,48.0
171,8,12.2
89,4,8.9
14,2,2.8
445,9,44.5
461,9,30.7
119,7,13.2
1048,20,38.8
42,4,8.4
377,15,17.1
1308,26,33.5
66,7,7.3
77,4,15.4
1016,23,35.0
96,4,16.0
1110,24,39.6
299,8,23.0
119,6,19.8
50,8,5.0
87,11,7.3
439,14,20.0
205,8,25.6
211,12,13.2
190,8,17.3
92,4,15.3
11,2,0.0
27,4,9.0
121,4,30.3
6,1,6.0
58,4,14.5
103,5,20.6
46,7,7.7
263,11,26.3
74,6,14.8
1635,24,48.1
116,7,12.9
316,8,21.1
38,3,12.7
98,8,16.3
73,8,7.3
221,4,55.3
196,8,24.5
200,11,8.7
914,32,76.2
122,8,13.6
5,2,2.5
5,1,5.0
184,9,20.4
131,11,18.7
420,16,11.1
20,7,2.9
75,6,10.7
695,25,23.2
26,2,8.7
531,24,29.5
35,8,4.4
447,18,19.4
192,35,13.7
62,5,10.3
14,1,7.0
73,4,9.1
100,3,16.7
16,8,4.0
337,18,25.9
19,0,19.0
327,14,13.1
1193,26,38.5
83,11,11.9
312,15,26.0
200,10,22.2
99,7,24.8
165,0,12.7
794,18,41.8
45,4,15.0
759,12,54.2
28,2,0.0
470,14,24.7
280,7,23.3
2017,27,57.6
100,5,20.0
1571,24,47.6
450,11,37.5
17,24,2.1
881,16,67.8
221,37,17.0
152,8,16.9
32,5,32.0
35,3,11.7
420,7,84.0
122,5,24.4
23,1,23.0
195,12,13.9
169,12,14.1
12,1,12.0
200,8,20.0
720,33,31.3
5,4,1.7
87,6,9.7
55,5,9.2
5,0,5.0
171,8,24.4
37,2,3.7
1619,27,41.5
77,10,12.8
5,1,5.0
18,3,3.0
188,7,23.5
89,6,17.8
1177,27,38.0
217,9,14.5
64,10,7.1
189,7,63.0
791,16,30.4
72,5,12.0
1920,33,51.9
192,8,19.2
31,6,5.2
23,1,11.5
122,11,13.6
325,11,27.1
61,8,12.2
48,6,8.0
154,11,12.8
1160,31,27.0
748,16,37.4
164,8,16.4
1583,22,52.8
22,10,3.1
427,15,21.4
398,15,0.0
232,16,23.2
919,17,54.1
13,4,3.3
401,0,28.6
1429,26,46.1
68,8,13.6
963,24,33.2
108,5,15.4
40,2,10.0
90,2,22.5
242,10,30.3
151,5,15.1
56,9,9.3
185,6,23.1
179,1,19.9
120,6,20.0
161,9,26.8
730,26,31.7
66,4,22.0
180,8,20.0
1164,23,55.4
516,8,32.3
72,7,10.3
163,7,12.5
82,8,13.7
989,23,43.0
382,9,38.2
652,15,36.2
169,16,14.1
325,11,25.0
289,13,20.6
50,3,12.5
109,8,13.6
95,7,11.9
397,16,17.3
1113,24,50.6
24,7,4.0
1351,24,38.6
7,1,7.0
402,15,26.8
1020,32,34.0
880,18,41.9
162,9,14.7
591,22,22.7
469,27,16.8
346,15,15.7
476,11,39.7
329,9,25.3
1627,32,31.3
498,27,0.0
604,24,20.8
430,12,28.7
1105,24,34.5
21,2,21.0
446,15,22.3
310,9,31.0
106,8,11.8
208,7,18.9
86,4,17.2
22,2,11.0
735,14,73.5
235,7,33.6
18,0,6.0
102,0,11.3
612,12,47.1
213,8,26.6
562,43,9.4
326,10,32.6
373,10,18.7
74,7,37.0
47,3,47.0
715,8,47.7
550,16,55.0
111,5,18.5
60,6,8.6
92,7,13.1
49,3,16.3
170,9,17.0
1261,24,50.4
149,8,12.4
3,4,1.0
8,4,2.0
97,13,12.1
183,8,13.1
1397,23,46.6
67,4,16.8
630,24,27.4
109,8,5.0
5,1,5.0
122,8,5.5
96,8,12.0
7,1,3.5
186,0,23.3
122,5,24.4
585,16,16.3
72,8,10.3
109,7,15.6
8,3,2.7
332,22,11.1
98,7,12.3
665,24,39.1
185,8,16.8
399,7,57.0
7,5,1.8
209,10,16.1
23,2,11.5
844,16,44.4
109,7,18.2
39,6,5.6
43,6,6.1
13,11,0.8
80,15,6.7
68,6,9.7
195,12,13.9
35,0,11.7
10,1,5.0
722,24,30.1
391,9,35.5
99,14,24.8
1096,25,45.7
282,9,28.2
239,8,26.6
282,8,25.6
1170,24,41.8
1068,24,56.2
156,8,12.0
152,28,4.8
479,8,47.9
80,5,2.3
19,0,9.5
607,13,33.7
55,1,13.8
9,8,1.3
29,5,4.8
80,6,13.3
533,26,35.5
227,8,28.4
214,7,23.8
68,4,9.7
30,3,10.0
290,9,26.4
525,21,23.9
232,9,14.5
447,17,26.3
198,11,24.8
11,1,2.8
22,3,1.8
386,0,9.4
54,2,27.0
158,0,22.6
47,7,6.7
835,22,49.1
39,4,9.8
53,4,10.6
321,16,20.1
26,4,6.5
812,20,45.1
109,4,21.8
233,10,16.6
221,9,20.1
13,3,4.3
591,19,26.9
288,8,19.2
848,17,38.5
159,10,14.5
29,3,29.0
48,4,12.0
446,12,34.3
1255,40,19.0
136,7,11.3
121,8,8.6
429,8,53.6
25,3,4.2
89,10,7.4
1017,27,42.4
44,6,5.5
498,27,20.8
85,12,7.7
29,6,3.2
1584,27,58.7
919,19,51.1
209,8,23.2
15,3,5.0
198,7,22.0
63,8,7.9
278,2,21.4
222,9,31.7
165,8,20.6
18,3,6.0
40,3,8.0
1824,28,53.6
310,9,16.3
23,5,7.7
175,8,15.9
9,1,9.0
90,4,18.0
1614,23,55.7
74,7,9.3
1216,17,52.9
4,2,2.0
2055,26,58.7
197,12,13.1
732,21,28.2
37,8,7.4
323,11,24.8
82,9,0.0
366,17,16.6
45,5,9.0
373,9,24.9
162,4,40.5
1677,40,28.9
502,8,41.8
188,20,20.9
133,11,9.5
485,16,20.2
420,13,20.0
232,8,19.3
256,8,28.4
37,6,9.3
42,4,14.0
209,8,19.0
2317,29,52.7
396,19,23.3
57,5,11.4
78,7,9.8
425,24,25.0
122,10,12.2
191,8,21.2
110,7,10.0
62,9,6.2
17,1,17.0
138,10,15.3
71,5,14.2
11,1,5.5
528,19,26.4
51,3,25.5
10,6,2.5
862,19,35.9
512,17,30.1
392,11,32.7
410,13,34.2
158,8,17.6
61,7,8.7
72,8,5.5
428,10,25.2
11,5,11.0
1213,24,48.5
122,2,17.4
282,7,40.3
364,10,24.3
4,1,4.0
520,16,52.0
40,9,4.0
10,5,5.0
30,8,6.0
31,0,5.2
45,8,11.3
48,3,16.0
98,7,10.9
24,5,6.0
206,7,25.8
297,15,18.6
196,7,32.7
1396,16,60.7
1035,17,49.3
9,4,4.5
75,5,18.8
19,3,9.5
40,6,5.7
355,8,29.6
268,18,14.9
190,8,23.8
137,9,17.1
777,32,17.7
217,7,10.9
241,17,24.1
144,7,14.4
197,8,21.9
472,13,31.5
7,1,7.0
1487,34,41.3
199,8,28.4
371,13,23.2
64,8,4.9
263,11,20.2
112,8,56.0
177,16,14.8
1993,30,55.4
1463,24,50.4
223,11,17.2
1049,28,29.1
98,5,0.0
256,13,28.4
54,7,7.7
52,2,26.0
69,8,7.7
115,5,19.2
14,5,2.8
137,15,5.1
419,17,22.1
205,8,25.6
448,12,29.9
