artist,lyrics
joyce omondi,Maisha yangu usalama mkononi mwako
Eko dyda,"Aiya yeah yeah yeah yeah, oooyah"
willy paul,Siku kuu kukupata we mdoli
Zikki,"Welcome to Kenya, this is my jamdown"
Redsan,(Baddest)
Otile Brown featuring Khlaigraph jonnes,Yeah
Bensoul,[Intro]
Femi one,"Femi, Femi, Femi One"
Nadia Mukami featuring Arrow Bwoy,Ooooh...Nadia
,Dem call me Arrow Bwoy
,Vicky pon dis
,"I never met, someone like you before"
,"I never felt, something like this before"
,"Mwenye upole, tena si mwenye hasira"
,"Anipende mimi mwenyewe, tena awe na subira"
,Ooh my beiby replay
,Give my baby some dancing shoes
,Ooh my beiby replay
,Playing my favourite tune
,Oya cheza radio love (oooh radio love)
,Dj cheza radio love (oooh radio love)
,Chini kwa chini radio love (oooh radio love)
,Cheza radio love(oooh radio love)
,(heey...heee...aaah )
,"My baby love, my sweety chocolate"
,"Samba loketo, ukinitega nianguke, naomba uniokotee.."
,"You already know, its a dancing time"
,"Cheza na wakati, ka ngoma kako fire...yaya"
,Mtoto uko fire...yaya
,Aaah ooh my beiby on a replay(ayaya)
,Give my baby some dancing shoes(aaah...)
,Keep my beiby on a replay(ayaya)
,Cheza radio love
,Oya cheza radio love (oooh radio love)
,Dj cheza radio love(oooh radio love)
,Chini kwa chini radio love (oooh radio love)
,Aya cheza radio love (oooh radio love)
,Naona nikipita na yeye ukicheza radio love
,Nyumbani me niende na yeye ukicheza radio love
,Aaah oooh... naona nikipita na wewe
,Mmmh ju walahi nimechizi na wewe(oooh yeah)
,Kiuno changu shake shake
,"Wewe, tukicheza radio love"
,Tonight we are messy messy
,Oooh nipe radio love
,Oya cheza radio love(oooh radio love)
,Dj cheza radio love(oooh radio love)
,Chini kwa chini radio love (oooh radio love)
,Cheza radio love(oooh radio love)
,Oya cheza radio love(oooh radio love)
,Dj cheza radio love(oooh radio love)
,Chini kwa chini radio love (oooh radio love)
,Cheza radio love(oooh radio love)
,Chini kwa chini na yeye
,Anipakate nimpakate
,"Beiby wee, beiby wee..."
,"Nikupe radio love, wacheze radio love"
,"Baby love, usininyime samosa"
,"(Ukitaka sose, nitakupa mpaka saucer"
,"Kwani kukupenda, mi najua si makosa"
,"Na nikikupenda, mi najua sija- uh-huh!)"
,[Chorus]
,"Lucy, I love you"
,Lakini kama tuko wengi
,"Tusilazimishe, tusilazimishe penzi"
,"Lucy, I love you"
,Lakini kama tuko wengi
,"Don't force it, don't force it"
,
,[Bridge]
,"Ati mtoto, mtoto mdogo"
,"Mtoto, mtoto mdogo"
,"Amevaa ngolopa, mangolopa"
,"Amevaa ngolopa, mangolopa"
,"Mtoto, mtoto mdogo"
,"Mtoto, mtoto mdogo"
,"Amevaa ngolopa, mangolopa"
,Amevaa ngolopa (Aha!)
,"Lucy, I love you"
,And I need your love
,But don't force it
,Yeah!
,(I love you…
,"Lucy, I love you"
,Lakini kama…
,"Don't force it, don't force it)"
,[Outro]
,"Mtoto, mtoto mdogo"
,"Mtoto, mtoto mdogo"
,"Amevaa ngolopa, mangolopa"
,"Amevaa ngolopa, mangolopa"
