artist,
Femi one featuring Mejja,"Femi, ndo ule Mejja, ndo ule Mejja"
Sauti Sol,"Oh Suzanna, I hope your happy now"
Khaligraph Jonnes featuring Bien,Eyoo motif turn me up on them headphones bro
Arrow Bwoy,Cocacola bottle shape
Tanasha Donna featuring Mboso,(Its S2kizzy Beiby)
Sauti Sol Featuring Soweto Choir,Cos I'm certain brighter days are yet to come
Nadia Mukami featuring Marioo,Kamoyo kangu kachoyo
Tanasha Donna featuring diamond,Zigila parapampapa
Jhaligraph Jonnes featuring Masauti,"Yeah, you gotta love it"
Willy Paul featuring Nadia Mukami,(Saldido)
,"Nikune, nikune nikune, ooh"
,"Nikune, nikune nikune, ooh"
,"Nikune, nikune nikune, pozee"
,"Nikune, nikune nikune, ooh"
,Nikune kune kune kune ma
,Nikune kune kune
,Nikune kune kune kune ma
,Nikune kune kune
,Mwana kipimo usinipimie mama
,Wakati jasho bado sijamwaga
,Sijachoka ndio naanza sasa
,Utamu wa mahaba ndio naleta mama
,Wewe Willy
,Nina swali vile vile kitendawili
,Unaweza kunipenda vile wawili
,Ama ni kesi toka Nandy naye Ali
,Basi tufanye vurugu baba
,Beiby usiwe na shaka
,Kama ni kung'ata nitang'ata utosheke
,And when I do do call me you you
,Hakuna mwingine atakwama juu juu
,Pepecha pepeta ng'a
,Pepecha pepeta sakata Nadia
,Pepeta pepeta ng'a
,Pepeta pepeta pepeta Willy
,"Nikune, nikune nikune, ooh"
,"Nikune, nikune nikune, ooh"
,"Nikune, nikune nikune, eeh"
,"Nikune, nikune nikune, ooh"
,"Nikune kune kune kune ma, ooh"
,"Nikune kune kune kune kunee, oooh"
,"Nikune kune kune kune ma, ooh"
,"Nikune kune kune kune kunee, oooh"
,Guza sixpack beiby hii si kitambi
,Twende home karantin tupige kambi
,Napiga nyundo kabati ifeel ndio stamina
,Eeh eh eh eh stamina (Pozeee)
,Acha ning'ate
,Utamu ukizidi nipe sigino
,Nizidishe mauno nikate
,Mpaka kisigino niongeze na miguno
,Onja ladha ya kibaya
,Ukumbuke niaje nitapenda
,Bara tunajimwaya
,Huyu mwenzangu utapenda
,Paramulate
,Lakini polepole nisi-ejaculate
,Tabia ya kwangu soft mama
,Eeh ki-supaghetti
,Pepecha pepeta ng'a
,Pepecha pepeta sakata Nadia
,Pepeta pepeta ng'a
,Pepeta pepeta pepeta Willy
,"Nikune, nikune nikune, ooh"
,"Nikune, nikune nikune, ooh"
,"Nikune, nikune nikune, eeh"
,"Nikune, nikune nikune, ooh"
,"Nikune kune kune kune ma, ooh"
,"Nikune kune kune kune kunee, oooh"
,"Nikune kune kune kune ma, ooh"
,"Nikune kune kune kune kunee, oooh"
,Beiby nikupeel kama caterpillar
,Nikukate kitu bila ukabila
,Make you feel like a queen
,Milele wewe wangu sio baby mama
,"Totoa totoa, totoa mama totoa"
,"Totoa totoa, totoa mama mmmh"
,Kanyaga tena mama rombosa
,Rombosa tena mama kanyaga
,Kanyaga tena mama rombosa
,Rombosa tena mama kanyaga
,"Oooh, oooh,ooh"
,Lakini tunapambana
,Ila mziki majanga lazima tu wanene
,Wanajifanya wanapenda (Hao)
,Ila wanadidimiza (Hao)
,Wanajifanya wanapenda (Hao)
,Ila wanadidimiza (Hao)
,Watakushow ati hauwezi fika mbali (Hao)
,But ni wivu tu jo wamejaa makali (Hao)
,Comment section wamejazana upuzi (Hao)
,Lakini DMs same haters bado groupies (Hao)
,Ukikafunga hivi waskiangi fiti (Hao)
,Wanatamani kuishi maisha we unaishi (Hao)
,So hata waki-hate haina ngori uko mbele (Hao)
,Get a life nigga punguza kelele (Hao)
,Hahahaha!
,Marijuana pon di corner(Yes bana)
,Mbogi mzima ina choma(Yes bana)
,Inatupandisha chopper(Yes bana)
,In the city si ndio hopper(Yes bana)
,Marijuana pon di corner(Yes bana)
,Mbogi mzima ina choma(Yes bana)
,Inatupandisha chopper(Yes bana)
,In the city si ndio hopper(Yes bana)
,[Bien Aime - Sauti Sol]
,2020 tuko key(Yes bana)
,Bien Aime na OG(Yes bana)
,Itabidi mmetii(Yes bana)
,Ju sisi ndio commitee(Yes bana)
,And they got nothing on we(Yes bana)
,Jogoo wa shamba anawika mjini(Yes bana)
,Manoti si mashilingi(Yes bana)
,Kuna mashore kwa wingi
,Marijuana pon di corner(Yes bana)
,Mbogi mzima ina choma(Yes bana)
,Inatupandisha chopper(Yes bana)
,In the city si ndio hopper(Yes bana)
,Marijuana pon di corner(Yes bana)
,Mbogi mzima ina choma(Yes bana)
,Inatupandisha chopper(Yes bana)
,In the city si ndio hopper(Yes bana)
,(Aaah aaah...)
,"Yes bana, yes bana"
,"Yes bana, yes bana"
,"125, 1960 Yes bana"
