C,E
16,743
0,0
24,1606
1,11
2,28
24,1207
4,80
8,261
32,2114
4,157
56,1399
3,42
10,112
24,875
2,22
5,56
8,142
2,28
32,682
0,0
0,0
4,5
8,134
1,6
2,13
16,485
17,784
8,105
6,18
8,149
12,131
0,0
8,408
19,395
1,72
8,92
4,43
13,355
5,170
0,0
0,0
0,0
0,41
0,0
0,0
24,1088
19,1024
8,141
8,283
10,104
0,0
10,206
2,29
3,16
22,1295
8,286
7,53
1,9
9,40
6,60
13,559
5,24
5,86
11,168
0,0
8,33
4,39
6,149
0,0
8,157
0,0
3,50
0,0
32,1787
3,41
5,6
9,295
10,108
12,261
7,178
9,40
16,836
0,0
8,177
2,36
8,388
0,0
11,321
9,139
1,4
6,76
7,89
5,63
10,0
0,0
10,0
7,135
7,23
2,26
20,291
6,84
8,191
9,160
4,37
2,5
11,187
8,210
4,31
11,161
0,0
2,7
5,50
5,142
16,336
1,17
18,550
8,338
11,325
4,80
0,0
2,15
10,208
4,15
19,414
5,14
7,9
2,12
4,256
29,1814
3,13
9,83
0,0
10,146
12,809
5,36
0,0
7,314
0,0
36,713
8,95
4,15
0,0
2,10
0,0
4,56
5,51
0,0
8,146
2,24
23,470
2,24
0,8
10,96
31,1701
0,0
7,179
4,117
7,753
7,204
24,511
16,641
8,0
10,306
8,159
0,0
6,101
8,74
0,0
8,369
8,98
27,1002
4,59
14,510
12,101
8,135
16,0
13,472
8,43
0,11
0,0
7,50
26,352
2,15
8,128
9,181
3,30
9,160
10,227
8,182
4,53
0,0
20,384
8,119
5,62
34,625
9,322
0,0
20,281
20,0
8,216
3,32
6,37
14,196
5,14
2,11
21,531
8,221
30,1633
16,435
23,586
15,630
27,1073
11,137
0,0
10,247
5,64
17,805
12,617
0,0
3,258
10,44
1,20
6,60
12,345
23,378
8,375
8,266
5,39
24,1262
0,0
14,462
4,15
8,197
6,23
20,240
7,135
1,6
7,47
5,125
10,89
20,536
8,38
6,78
0,0
1,11
8,377
10,199
24,1344
0,0
8,171
4,89
2,14
9,445
9,461
7,119
0,0
20,1048
4,42
15,377
26,1308
0,0
0,0
7,66
4,77
0,0
0,0
23,1016
0,0
4,96
0,0
24,1110
8,299
6,119
8,50
11,87
14,439
8,205
12,211
8,190
0,0
0,0
4,92
2,11
4,27
8,0
4,121
1,6
4,58
5,103
7,46
11,263
0,0
6,74
24,1635
7,116
8,316
3,38
0,0
8,98
8,73
4,221
8,196
11,200
32,914
8,122
2,5
1,5
9,184
11,131
16,420
7,20
6,75
25,695
2,26
24,531
8,35
0,0
18,447
35,192
5,62
1,14
4,73
3,100
8,16
18,337
0,0
0,19
14,327
26,1193
11,83
0,0
15,312
10,200
0,0
7,99
0,165
18,794
4,45
12,759
2,28
0,0
14,470
7,280
0,0
27,2017
5,100
24,1571
11,450
0,0
24,17
16,881
0,0
37,221
8,152
5,32
3,35
7,420
5,122
1,23
12,195
0,0
12,169
1,12
8,200
0,0
33,720
4,5
6,87
5,55
0,5
0,0
8,171
2,37
27,1619
10,77
0,0
1,5
8,0
0,0
3,18
7,188
6,89
27,1177
9,217
0,0
10,64
0,0
7,189
16,791
5,72
33,1920
0,0
0,0
8,192
6,31
1,23
0,0
11,122
11,325
8,61
6,48
11,154
31,1160
16,748
8,164
22,1583
0,0
10,22
15,427
15,398
16,232
17,919
4,13
